gene,symbol
ENSG00000063176,SPHK2
ENSG00000063177,RPL18
ENSG00000063244,U2AF2
ENSG00000063245,EPN1
ENSG00000063322,MED29
ENSG00000063587,ZNF275
ENSG00000063601,MTMR1
ENSG00000063660,GPC1
ENSG00000063854,HAGH
ENSG00000063978,RNF4
ENSG00000064042,LIMCH1
ENSG00000064115,TM7SF3
ENSG00000064225,ST3GAL6
ENSG00000064313,TAF2
ENSG00000064393,HIPK2
ENSG00000064601,CTSA
ENSG00000064607,SUGP2
ENSG00000064651,SLC12A2
ENSG00000064652,SNX24
ENSG00000064687,ABCA7
ENSG00000064726,BTBD1
ENSG00000064787,BCAS1
ENSG00000064933,PMS1
ENSG00000064999,ANKS1A
ENSG00000065000,AP3D1
ENSG00000065135,GNAI3
ENSG00000065150,IPO5
ENSG00000065154,OAT
ENSG00000065183,WDR3
ENSG00000065457,ADAT1
ENSG00000065491,TBC1D22B
ENSG00000065518,NDUFB4
ENSG00000065526,SPEN
ENSG00000065534,MYLK
ENSG00000065548,ZC3H15
ENSG00000065559,MAP2K4
ENSG00000065609,SNAP91
ENSG00000065613,SLK
ENSG00000065665,SEC61A2
ENSG00000065802,ASB1
ENSG00000065809,FAM107B
ENSG00000065833,ME1
ENSG00000065883,CDK13
ENSG00000065911,MTHFD2
ENSG00000065989,PDE4A
ENSG00000066027,PPP2R5A
ENSG00000066032,CTNNA2
ENSG00000066044,ELAVL1
ENSG00000066084,DIP2B
ENSG00000066117,SMARCD1
ENSG00000066136,NFYC
ENSG00000066382,MPPED2
ENSG00000066422,ZBTB11
ENSG00000066427,ATXN3
ENSG00000066455,GOLGA5
ENSG00000066468,FGFR2
ENSG00000066557,LRRC40
ENSG00000066583,ISOC1
ENSG00000066651,TRMT11
ENSG00000066654,THUMPD1
ENSG00000066697,MSANTD3
ENSG00000066739,ATG2B
ENSG00000066777,ARFGEF1
ENSG00000066926,FECH
ENSG00000066933,MYO9A
ENSG00000067048,DDX3Y
ENSG00000067057,PFKP
ENSG00000067064,IDI1
ENSG00000067082,KLF6
ENSG00000067141,NEO1
ENSG00000067177,PHKA1
ENSG00000067191,CACNB1
ENSG00000067208,EVI5
ENSG00000067221,STOML1
ENSG00000067225,PKM
ENSG00000067248,DHX29
ENSG00000067334,DNTTIP2
ENSG00000067369,TP53BP1
ENSG00000067445,TRO
ENSG00000067533,RRP15
ENSG00000067560,RHOA
ENSG00000067606,PRKCZ
ENSG00000067704,IARS2
ENSG00000067715,SYT1
ENSG00000067798,NAV3
ENSG00000067829,IDH3G
ENSG00000067836,ROGDI
ENSG00000067840,PDZD4
ENSG00000067842,ATP2B3
ENSG00000067955,CBFB
ENSG00000068024,HDAC4
ENSG00000068078,FGFR3
ENSG00000068323,TFE3
ENSG00000068366,ACSL4
ENSG00000068383,INPP5A
ENSG00000068400,GRIPAP1
ENSG00000068438,FTSJ1
ENSG00000068615,REEP1
ENSG00000068650,ATP11A
ENSG00000068654,POLR1A
ENSG00000068697,LAPTM4A
ENSG00000068745,IP6K2
ENSG00000068796,KIF2A
ENSG00000068878,PSME4
ENSG00000068885,IFT80
ENSG00000068903,SIRT2
ENSG00000068912,ERLEC1
ENSG00000068971,PPP2R5B
ENSG00000069020,MAST4
ENSG00000069248,NUP133
ENSG00000069275,NUCKS1
ENSG00000069345,DNAJA2
ENSG00000069424,KCNAB2
ENSG00000069509,FUNDC1
ENSG00000069535,MAOB
ENSG00000069667,RORA
ENSG00000069849,ATP1B3
ENSG00000069956,MAPK6
ENSG00000069966,GNB5
ENSG00000070010,UFD1
ENSG00000070018,LRP6
ENSG00000070081,NUCB2
ENSG00000070087,PFN2
ENSG00000070182,SPTB
ENSG00000070214,SLC44A1
ENSG00000070367,EXOC5
ENSG00000070371,CLTCL1
ENSG00000070413,DGCR2
ENSG00000070423,RNF126
ENSG00000070444,MNT
ENSG00000070495,JMJD6
ENSG00000070501,POLB
ENSG00000070610,GBA2
ENSG00000070614,NDST1
ENSG00000070718,AP3M2
ENSG00000070756,PABPC1
ENSG00000070761,CFAP20
ENSG00000070770,CSNK2A2
ENSG00000070785,EIF2B3
ENSG00000070814,TCOF1
ENSG00000070882,OSBPL3
ENSG00000070961,ATP2B1
ENSG00000071051,NCK2
ENSG00000071054,MAP4K4
ENSG00000071082,RPL31
ENSG00000071127,WDR1
ENSG00000071189,SNX13
ENSG00000071537,SEL1L
ENSG00000071553,ATP6AP1
ENSG00000071575,TRIB2
ENSG00000071626,DAZAP1
ENSG00000071655,MBD3
ENSG00000071794,HLTF
ENSG00000071859,FAM50A
ENSG00000071889,FAM3A
ENSG00000071994,PDCD2
ENSG00000072041,SLC6A15
ENSG00000072042,RDH11
ENSG00000072062,PRKACA
ENSG00000072071,ADGRL1
ENSG00000072110,ACTN1
ENSG00000072134,EPN2
ENSG00000072135,PTPN18
ENSG00000072195,SPEG
ENSG00000072210,ALDH3A2
ENSG00000072274,TFRC
ENSG00000072364,AFF4
ENSG00000072401,UBE2D1
ENSG00000072501,SMC1A
ENSG00000072756,TRNT1
ENSG00000072778,ACADVL
ENSG00000072803,FBXW11
ENSG00000072832,CRMP1
ENSG00000072849,DERL2
ENSG00000072858,SIDT1
ENSG00000072954,TMEM38A
ENSG00000073008,PVR
ENSG00000073150,PANX2
ENSG00000073464,CLCN4
ENSG00000073614,KDM5A
ENSG00000073803,MAP3K13
ENSG00000073910,FRY
ENSG00000073921,PICALM
ENSG00000073969,NSF
ENSG00000074054,CLASP1
ENSG00000074071,MRPS34
ENSG00000074201,CLNS1A
ENSG00000074211,PPP2R2C
ENSG00000074319,TSG101
ENSG00000074370,ATP2A3
ENSG00000074416,MGLL
ENSG00000074527,NTN4
ENSG00000074582,BCS1L
ENSG00000074590,NUAK1
ENSG00000074603,DPP8
ENSG00000074695,LMAN1
ENSG00000074696,HACD3
ENSG00000074706,IPCEF1
ENSG00000074800,ENO1
ENSG00000074842,MYDGF
ENSG00000074935,TUBE1
ENSG00000074964,ARHGEF10L
ENSG00000075035,WSCD2
ENSG00000075043,KCNQ2
ENSG00000075089,ACTR6
ENSG00000075142,SRI
ENSG00000075151,EIF4G3
ENSG00000075239,ACAT1
ENSG00000075240,GRAMD4
ENSG00000075292,ZNF638
ENSG00000075336,TIMM21
ENSG00000075340,ADD2
ENSG00000075391,RASAL2
ENSG00000075399,VPS9D1
ENSG00000075407,ZNF37A
ENSG00000075413,MARK3
ENSG00000075415,SLC25A3
ENSG00000075539,FRYL
ENSG00000075568,TMEM131
ENSG00000075618,FSCN1
ENSG00000075624,ACTB
ENSG00000075711,DLG1
ENSG00000075785,RAB7A
ENSG00000075856,SART3
ENSG00000075914,EXOSC7
ENSG00000075945,KIFAP3
ENSG00000075975,MKRN2
ENSG00000076043,REXO2
ENSG00000076108,BAZ2A
ENSG00000076242,MLH1
ENSG00000076248,UNG
ENSG00000076321,KLHL20
ENSG00000076513,ANKRD13A
ENSG00000076554,TPD52
ENSG00000076641,PAG1
ENSG00000076716,GPC4
ENSG00000076864,RAP1GAP
ENSG00000076984,MAP2K7
ENSG00000077044,DGKD
ENSG00000077063,CTTNBP2
ENSG00000077097,TOP2B
ENSG00000077147,TM9SF3
ENSG00000077157,PPP1R12B
ENSG00000077232,DNAJC10
ENSG00000077235,GTF3C1
ENSG00000077254,USP33
ENSG00000077264,PAK3
ENSG00000077279,DCX
ENSG00000077312,SNRPA
ENSG00000077380,DYNC1I2
ENSG00000077549,CAPZB
ENSG00000077585,GPR137B
ENSG00000077616,NAALAD2
ENSG00000077684,JADE1
ENSG00000077721,UBE2A
ENSG00000077782,FGFR1
ENSG00000078018,MAP2
ENSG00000078043,PIAS2
ENSG00000078053,AMPH
ENSG00000078114,NEBL
ENSG00000078124,ACER3
ENSG00000078140,UBE2K
ENSG00000078142,PIK3C3
ENSG00000078295,ADCY2
ENSG00000078304,PPP2R5C
ENSG00000078328,RBFOX1
ENSG00000078369,GNB1
ENSG00000078549,ADCYAP1R1
ENSG00000078596,ITM2A
ENSG00000078668,VDAC3
ENSG00000078674,PCM1
ENSG00000078687,TNRC6C
ENSG00000078699,CBFA2T2
ENSG00000078804,TP53INP2
ENSG00000078967,UBE2D4
ENSG00000079102,RUNX1T1
ENSG00000079156,OSBPL6
ENSG00000079215,SLC1A3
ENSG00000079246,XRCC5
ENSG00000079277,MKNK1
ENSG00000079308,TNS1
ENSG00000079332,SAR1A
ENSG00000079459,FDFT1
ENSG00000079462,PAFAH1B3
ENSG00000079739,PGM1
ENSG00000079785,DDX1
ENSG00000079841,RIMS1
ENSG00000079950,STX7
ENSG00000079999,KEAP1
ENSG00000080189,SLC35C2
ENSG00000080345,RIF1
ENSG00000080371,RAB21
ENSG00000080493,SLC4A4
ENSG00000080503,SMARCA2
ENSG00000080546,SESN1
ENSG00000080802,CNOT4
ENSG00000080815,PSEN1
ENSG00000080819,CPOX
ENSG00000080822,CLDND1
ENSG00000080824,HSP90AA1
ENSG00000080845,DLGAP4
ENSG00000081019,RSBN1
ENSG00000081026,MAGI3
ENSG00000081087,OSTM1
ENSG00000081154,PCNP
ENSG00000081307,UBA5
ENSG00000081760,AACS
ENSG00000081803,CADPS2
ENSG00000082014,SMARCD3
ENSG00000082153,BZW1
ENSG00000082212,ME2
ENSG00000082213,C5orf22
ENSG00000082258,CCNT2
ENSG00000082269,FAM135A
ENSG00000082397,EPB41L3
ENSG00000082458,DLG3
ENSG00000082497,SERTAD4
ENSG00000082515,MRPL22
ENSG00000082516,GEMIN5
ENSG00000082556,OPRK1
ENSG00000082641,NFE2L1
ENSG00000082701,GSK3B
ENSG00000082805,ERC1
ENSG00000082898,XPO1
ENSG00000082996,RNF13
ENSG00000083099,LYRM2
ENSG00000083123,BCKDHB
ENSG00000083168,KAT6A
ENSG00000083290,ULK2
ENSG00000083312,TNPO1
ENSG00000083444,PLOD1
ENSG00000083454,P2RX5
ENSG00000083457,ITGAE
ENSG00000083520,DIS3
ENSG00000083642,PDS5B
ENSG00000083720,OXCT1
ENSG00000083750,RRAGB
ENSG00000083799,CYLD
ENSG00000083845,RPS5
ENSG00000083937,CHMP2B
ENSG00000084070,SMAP2
ENSG00000084073,ZMPSTE24
ENSG00000084090,STARD7
ENSG00000084112,SSH1
ENSG00000084207,GSTP1
ENSG00000084234,APLP2
ENSG00000084463,WBP11
ENSG00000084623,EIF3I
ENSG00000084652,TXLNA
ENSG00000084676,NCOA1
ENSG00000084693,AGBL5
ENSG00000084731,KIF3C
ENSG00000084733,RAB10
ENSG00000084754,HADHA
ENSG00000084764,MAPRE3
ENSG00000085224,ATRX
ENSG00000085231,AK6
ENSG00000085274,MYNN
ENSG00000085365,SCAMP1
ENSG00000085377,PREP
ENSG00000085382,HACE1
ENSG00000085433,WDR47
ENSG00000085449,WDFY1
ENSG00000085511,MAP3K4
ENSG00000085644,ZNF213
ENSG00000085719,CPNE3
ENSG00000085721,RRN3
ENSG00000085733,CTTN
ENSG00000085788,DDHD2
ENSG00000085831,TTC39A
ENSG00000085832,EPS15
ENSG00000085871,MGST2
ENSG00000085872,CHERP
ENSG00000085978,ATG16L1
ENSG00000085998,POMGNT1
ENSG00000086015,MAST2
ENSG00000086061,DNAJA1
ENSG00000086065,CHMP5
ENSG00000086102,NFX1
ENSG00000086189,DIMT1
ENSG00000086200,IPO11
ENSG00000086232,EIF2AK1
ENSG00000086289,EPDR1
ENSG00000086300,SNX10
ENSG00000086475,SEPHS1
ENSG00000086504,MRPL28
ENSG00000086589,RBM22
ENSG00000086598,TMED2
ENSG00000086619,ERO1B
ENSG00000086758,HUWE1
ENSG00000087053,MTMR2
ENSG00000087087,SRRT
ENSG00000087095,NLK
ENSG00000087152,ATXN7L3
ENSG00000087191,PSMC5
ENSG00000087258,GNAO1
ENSG00000087263,OGFOD1
ENSG00000087274,ADD1
ENSG00000087302,RTRAF
ENSG00000087338,GMCL1
ENSG00000087365,SF3B2
ENSG00000087448,KLHL42
ENSG00000087460,GNAS
ENSG00000087470,DNM1L
ENSG00000087495,PHACTR3
ENSG00000087502,ERGIC2
ENSG00000088179,PTPN4
ENSG00000088205,DDX18
ENSG00000088247,KHSRP
ENSG00000088256,GNA11
ENSG00000088356,PDRG1
ENSG00000088367,EPB41L1
ENSG00000088387,DOCK9
ENSG00000088448,ANKRD10
ENSG00000088538,DOCK3
ENSG00000088543,C3orf18
ENSG00000088808,PPP1R13B
ENSG00000088812,ATRN
ENSG00000088833,NSFL1C
ENSG00000088899,LZTS3
ENSG00000088930,XRN2
ENSG00000088986,DYNLL1
ENSG00000089006,SNX5
ENSG00000089048,ESF1
ENSG00000089053,ANAPC5
ENSG00000089057,SLC23A2
ENSG00000089154,GCN1
ENSG00000089169,RPH3A
ENSG00000089195,TRMT6
ENSG00000089199,CHGB
ENSG00000089220,PEBP1
ENSG00000089234,BRAP
ENSG00000089248,ERP29
ENSG00000089280,FUS
ENSG00000089289,IGBP1
ENSG00000089335,ZNF302
ENSG00000089486,CDIP1
ENSG00000089693,MLF2
ENSG00000089737,DDX24
ENSG00000089818,NECAP1
ENSG00000089916,GPATCH2L
ENSG00000090013,BLVRB
ENSG00000090020,SLC9A1
ENSG00000090060,PAPOLA
ENSG00000090097,PCBP4
ENSG00000090238,YPEL3
ENSG00000090263,MRPS33
ENSG00000090266,NDUFB2
ENSG00000090432,MUL1
ENSG00000090470,PDCD7
ENSG00000090487,SPG21
ENSG00000090565,RAB11FIP3
ENSG00000090615,GOLGA3
ENSG00000090621,PABPC4
ENSG00000090686,USP48
ENSG00000090863,GLG1
ENSG00000090905,TNRC6A
ENSG00000090971,NAT14
ENSG00000090975,PITPNM2
ENSG00000090989,EXOC1
ENSG00000091009,RBM27
ENSG00000091039,OSBPL8
ENSG00000091129,NRCAM
ENSG00000091140,DLD
ENSG00000091157,WDR7
ENSG00000091164,TXNL1
ENSG00000091428,RAPGEF4
ENSG00000091482,SMPX
ENSG00000091513,TF
ENSG00000091527,CDV3
ENSG00000091542,ALKBH5
ENSG00000091640,SPAG7
ENSG00000091656,ZFHX4
ENSG00000091732,ZC3HC1
ENSG00000091844,RGS17
ENSG00000091947,TMEM101
ENSG00000091972,CD200
ENSG00000092010,PSME1
ENSG00000092020,PPP2R3C
ENSG00000092096,SLC22A17
ENSG00000092108,SCFD1
ENSG00000092140,G2E3
ENSG00000092148,HECTD1
ENSG00000092199,HNRNPC
ENSG00000092201,SUPT16H
ENSG00000092203,TOX4
ENSG00000092330,TINF2
ENSG00000092820,EZR
ENSG00000092841,MYL6
ENSG00000092847,AGO1
ENSG00000092931,MFSD11
ENSG00000092964,DPYSL2
ENSG00000092978,GPATCH2
ENSG00000093000,NUP50
ENSG00000093010,COMT
ENSG00000093144,ECHDC1
ENSG00000093167,LRRFIP2
ENSG00000093183,SEC22C
ENSG00000094631,HDAC6
ENSG00000094841,UPRT
ENSG00000094880,CDC23
ENSG00000094916,CBX5
ENSG00000094975,SUCO
ENSG00000095139,ARCN1
ENSG00000095261,PSMD5
ENSG00000095321,CRAT
ENSG00000095380,NANS
ENSG00000095564,BTAF1
ENSG00000095574,IKZF5
ENSG00000095637,SORBS1
ENSG00000095787,WAC
ENSG00000095794,CREM
ENSG00000096063,SRPK1
ENSG00000096092,TMEM14A
ENSG00000096384,HSP90AB1
ENSG00000096401,CDC5L
ENSG00000096746,HNRNPH3
ENSG00000097007,ABL1
ENSG00000097021,ACOT7
ENSG00000097033,SH3GLB1
ENSG00000099194,SCD
ENSG00000099204,ABLIM1
ENSG00000099219,ERMP1
ENSG00000099246,RAB18
ENSG00000099308,MAST3
ENSG00000099326,MZF1
ENSG00000099341,PSMD8
ENSG00000099622,CIRBP
ENSG00000099783,HNRNPM
ENSG00000099814,CEP170B
ENSG00000099817,POLR2E
ENSG00000099864,PALM
ENSG00000099875,MKNK2
ENSG00000099889,ARVCF
ENSG00000099901,RANBP1
ENSG00000099904,ZDHHC8
ENSG00000099910,KLHL22
ENSG00000099917,MED15
ENSG00000099940,SNAP29
ENSG00000099942,CRKL
ENSG00000099956,SMARCB1
ENSG00000099968,BCL2L13
ENSG00000099991,CABIN1
ENSG00000099995,SF3A1
ENSG00000100014,SPECC1L
ENSG00000100029,PES1
ENSG00000100030,MAPK1
ENSG00000100034,PPM1F
ENSG00000100083,GGA1
ENSG00000100095,SEZ6L
ENSG00000100097,LGALS1
ENSG00000100099,HPS4
ENSG00000100100,PIK3IP1
ENSG00000100116,GCAT
ENSG00000100124,ANKRD54
ENSG00000100138,SNU13
ENSG00000100142,POLR2F
ENSG00000100151,PICK1
ENSG00000100154,TTC28
ENSG00000100201,DDX17
ENSG00000100207,TCF20
ENSG00000100216,TOMM22
ENSG00000100220,RTCB
ENSG00000100221,JOSD1
ENSG00000100225,FBXO7
ENSG00000100227,POLDIP3
ENSG00000100234,TIMP3
ENSG00000100239,PPP6R2
ENSG00000100241,SBF1
ENSG00000100243,CYB5R3
ENSG00000100263,RHBDD3
ENSG00000100266,PACSIN2
ENSG00000100280,AP1B1
ENSG00000100281,HMGXB4
ENSG00000100304,TTLL12
ENSG00000100307,CBX7
ENSG00000100320,RBFOX2
ENSG00000100321,SYNGR1
ENSG00000100324,TAB1
ENSG00000100330,MTMR3
