symbol,uniprot,protein,function,location
MANF,P55145,Mesencephalic astrocyte-derived neurotrophic factor,"Selectively promotes the survival of dopaminergic neurons of the ventral mid-brain (PubMed:12794311). Modulates GABAergic transmission to the dopaminergic neurons of the substantia nigra (By similarity). Enhances spontaneous, as well as evoked, GABAergic inhibitory postsynaptic currents in dopaminergic neurons (By similarity). Inhibits cell proliferation and endoplasmic reticulum (ER) stress-induced cell death (PubMed:18561914, PubMed:22637475, PubMed:29497057, PubMed:36739529). Retained in the ER/sarcoplasmic reticulum (SR) through association with the endoplasmic reticulum chaperone protein HSPA5 under normal conditions (PubMed:22637475). Stabilizes HSPA5/BiP in its substrate-bound ADP state, which facilitates HSPA5/BiP incorporation into chaperone-client complexes during endoplasmic reticulum stress, its interaction with HSPA5/BiP inhibits ATP binding to HSPA5/BiP and subsequent nucleotide exchange (By similarity). As a result acts as a repressor of the unfolded protein response (UPR) pathway (By similarity). Up-regulated and secreted by the ER/SR in response to ER stress and hypoxia (PubMed:22637475). Following secretion by the ER/SR, directly binds to 3-O-sulfogalactosylceramide, a lipid sulfatide in the outer cell membrane of target cells (PubMed:29497057). Sulfatide binding promotes its cellular uptake by endocytosis, and is required for its role in alleviating ER stress and cell toxicity under hypoxic and ER stress conditions (PubMed:29497057). Essential for embryonic lung development (By similarity). Required for the correct postnatal temporal and structural development of splenic white pulp (By similarity). Required for the repair-associated myeloid response in skeletal muscle, acts as a regulator of phenotypic transition towards prorepair macrophages in response to muscle injury and as a result limits excessive proinflammatory signaling (By similarity). Represses RELA expression and therefore NF-kB signaling in the myocardium, as a result limits macrophage infiltration of injured tissue and M1 macrophage differentiation in response to myocardial injury (By similarity). Required for endochondral ossification in long bones and the skull during postnatal development (By similarity)",Secreted; Endoplasmic reticulum lumen; Sarcoplasmic reticulum lumen
CFLAR,O15519,CASP8 and FADD-like apoptosis regulator,Apoptosis regulator protein which may function as a crucial link between cell survival and cell death pathways in mammalian cells (PubMed:31046799). Acts as an inhibitor of TNFRSF6 mediated apoptosis. A proteolytic fragment (p43) is likely retained in the death-inducing signaling complex (DISC) thereby blocking further recruitment and processing of caspase-8 at the complex. Full length and shorter isoforms have been shown either to induce apoptosis or to reduce TNFRSF-triggered apoptosis. Lacks enzymatic (caspase) activity,
CACNA1A,O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,"Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1A gives rise to P and/or Q-type calcium currents. P/Q-type calcium channels belong to the 'high-voltage activated' (HVA) group and are specifically blocked by the spider omega-agatoxin-IVA (AC P54282) (By similarity). They are however insensitive to dihydropyridines (DHP)",Cell membrane
L3MBTL1,Q9Y468,Lethal(3)malignant brain tumor-like protein 1,"Polycomb group (PcG) protein that specifically recognizes and binds mono- and dimethyllysine residues on target proteins, thereby acting as a 'reader' of a network of post-translational modifications. PcG proteins maintain the transcriptionally repressive state of genes: acts as a chromatin compaction factor by recognizing and binding mono- and dimethylated histone H1b/H1-4 at 'Lys-26' (H1bK26me1 and H1bK26me2) and histone H4 at 'Lys-20' (H4K20me1 and H4K20me2), leading to condense chromatin and repress transcription. Recognizes and binds p53/TP53 monomethylated at 'Lys-382', leading to repress p53/TP53-target genes. Also recognizes and binds RB1/RB monomethylated at 'Lys-860'. Participates in the ETV6-mediated repression. Probably plays a role in cell proliferation. Overexpression induces multinucleated cells, suggesting that it is required to accomplish normal mitosis",Nucleus
LGMN,Q99538,Legumain,"Has a strict specificity for hydrolysis of asparaginyl bonds (PubMed:23776206). Can also cleave aspartyl bonds slowly, especially under acidic conditions (PubMed:23776206). Involved in the processing of proteins for MHC class II antigen presentation in the lysosomal/endosomal system (PubMed:9872320). Also involved in MHC class I antigen presentation in cross-presenting dendritic cells by mediating cleavage and maturation of Perforin-2 (MPEG1), thereby promoting antigen translocation in the cytosol (By similarity). Required for normal lysosomal protein degradation in renal proximal tubules (By similarity). Required for normal degradation of internalized EGFR (By similarity). Plays a role in the regulation of cell proliferation via its role in EGFR degradation (By similarity)",Lysosome
ADGRB3,O60242,Adhesion G protein-coupled receptor B3,Receptor that plays a role in the regulation of synaptogenesis and dendritic spine formation at least partly via interaction with ELMO1 and RAC1 activity (By similarity). Promotes myoblast fusion through ELMO/DOCK1 (PubMed:24567399),Cell membrane
CPNE3,O75131,Copine-3,Calcium-dependent phospholipid-binding protein that plays a role in ERBB2-mediated tumor cell migration in response to growth factor heregulin stimulation (PubMed:20010870),Nucleus; Cytoplasm; Cell membrane
CNTN4,Q8IWV2,Contactin-4,Contactins mediate cell surface interactions during nervous system development. Has some neurite outgrowth-promoting activity. May be involved in synaptogenesis,Cell membrane; Secreted
SCAI,Q8N9R8,Protein SCAI,Tumor suppressor which functions to suppress MRTFA-induced SRF transcriptional activity. May function in the RHOA-DIAPH1 signal transduction pathway and regulate cell migration through transcriptional regulation of ITGB1,Membrane; Nucleus; Cytoplasm
ELOVL7,A1L3X0,Very long chain fatty acid elongase 7,"Catalyzes the first and rate-limiting reaction of the four reactions that constitute the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process allows the addition of 2 carbons to the chain of long- and very long-chain fatty acids (VLCFAs) per cycle. Condensing enzyme with higher activity toward C18 acyl-CoAs, especially C18:3(n-3) acyl-CoAs and C18:3(n-6)-CoAs. Also active toward C20:4-, C18:0-, C18:1-, C18:2- and C16:0-CoAs, and weakly toward C20:0-CoA. Little or no activity toward C22:0-, C24:0-, or C26:0-CoAs. May participate in the production of saturated and polyunsaturated VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of membrane lipids and lipid mediators",Endoplasmic reticulum membrane
SH3GL3,Q99963,Endophilin-A3,Implicated in endocytosis. May recruit other proteins to membranes with high curvature (By similarity),Cytoplasm; Early endosome membrane
C11orf54,Q9H0W9,Beta-keto L-gulonate decarboxylase,"Catalyzes the decarboxylation of 3-dehydro-L-gulonate to produce L-xylulose, used in the pentose pathway (PubMed:40737316). Exhibits ester hydrolase activity on p-nitrophenyl acetate, in vitro (PubMed:16522806). Regulates DNA damage and repair by regulating HIF1A degradation via chaperone-mediated autophagy (CMA) (PubMed:37277441) Probably non-functional when tested on p-nitrophenyl acetate, in vitro",Nucleus; Cytoplasm
SOX6,P35712,Transcription factor SOX-6,"Transcription factor that plays a key role in several developmental processes, including neurogenesis, chondrocytes differentiation and cartilage formation (Probable). Specifically binds the 5'-AACAAT-3' DNA motif present in enhancers and super-enhancers and promotes expression of genes important for chondrogenesis. Required for overt chondrogenesis when condensed prechondrocytes differentiate into early stage chondrocytes: SOX5 and SOX6 cooperatively bind with SOX9 on active enhancers and super-enhancers associated with cartilage-specific genes, and thereby potentiate SOX9's ability to transactivate. Not involved in precartilaginous condensation, the first step in chondrogenesis, during which skeletal progenitors differentiate into prechondrocytes. Together with SOX5, required to form and maintain a pool of highly proliferating chondroblasts between epiphyses and metaphyses, to form columnar chondroblasts, delay chondrocyte prehypertrophy but promote hypertrophy, and to delay terminal differentiation of chondrocytes on contact with ossification fronts. Binds to the proximal promoter region of the myelin protein MPZ gene, and is thereby involved in the differentiation of oligodendroglia in the developing spinal tube. Binds to the gene promoter of MBP and acts as a transcriptional repressor (By similarity)",Nucleus; Cytoplasm
IBTK,Q9P2D0,Inhibitor of Bruton tyrosine kinase,"Acts as an inhibitor of BTK tyrosine kinase activity, thereby playing a role in B-cell development. Down-regulates BTK kinase activity, leading to interference with BTK-mediated calcium mobilization and NF-kappa-B-driven transcription",Cytoplasm; Membrane; Nucleus
SSTR1,P30872,Somatostatin receptor type 1,Receptor for somatostatin with higher affinity for somatostatin-14 than -28. This receptor is coupled via pertussis toxin sensitive G proteins to inhibition of adenylyl cyclase. In addition it stimulates phosphotyrosine phosphatase and Na(+)/H(+) exchanger via pertussis toxin insensitive G proteins,Cell membrane
USP12,O75317,Ubiquitin carboxyl-terminal hydrolase 12,"Deubiquitinating enzyme that plays various roles in the regulation of the immune response and inflammation (PubMed:19075014, PubMed:27373336). During TCR engagement and activation, translocates into the cytoplasm and deubiquitinates its substrates LAT and TRAT1 and prevents their lysosome-dependent degradation to stabilize the TCR signaling complex at the plasma membrane (PubMed:26811477). Plays an essential role in the selective LPS-induced macrophage response through the activation of NF-kappa-B pathway (PubMed:28063927). In addition, promotes that antiviral immune response through targeting DNA sensor IFI16 to inhibit its proteasome-dependent degradation (PubMed:37410794). Participates in the interferon signaling pathway and antiviral response independently of its deubiquitinase activity by maintaining nuclear phosphorylated STAT1 levels via inhibition of its CREBBP-mediated acetylation and subsequent dephosphorylation (PubMed:31899788). Plays an intrinsic role in promoting the differentiation, activation and proliferation of CD4(+) T-cell by activating the NF-kappa-B signaling pathway through deubiquitinating and stabilizing B-cell lymphoma/leukemia 10/BCL10 (By similarity). In myeloid-derived suppressor cells promotes the activation of the NF-kappa-B via deubiquitination and stabilization of RELA (By similarity). Regulates the 'Lys-63'-linked polyubiquitin chains of BAX and thereby modulates the mitochondrial apoptotic process (PubMed:36361894). Negative regulator of NOTCH signaling that specifically deubiquitinates non-activated NOTCH receptors to target them for lysosomal degradation; deubiquitination of NOTCH stimulates its transport form late endosomes to lysosomes (PubMed:22778262). Protects neurons against HTT/huntingtin-induced polyglutamine expansion-dependent neurodegeneration through regulation of autophagic flux (PubMed:30266909). This function is independent of deubiquitinase activity or of other components of the USP12-WDR20-WDR48 deubiquitinating complex (By similarity). In complex with WDR48, acts as a potential tumor suppressor by positively regulating PHLPP1 stability (PubMed:24145035) (Microbial infection) Forms a complex with Epstein-Barr virus protein EBNA3 which is an active deubiquitinase activity that may select specific substrates to promote B-lymphocyte transformation",Nucleus; Cytoplasm; Cell membrane
