gene,symbol,name,direction,hedges_g_discovery,p_discovery,deg,boruta_fold_frequency,shap_rank,single_gene_auc,g_external_neuron_adjusted,replicates_in_bulk,dopamine_lineage_score,top_subtype_marker,pd_association_open_targets,pd_genetic_association,pd_literature,best_pathway_neighbours,summary,lineage,g_original,g_composition_removed,retained,log2FC,pvalue,I2,same_direction_datasets,boruta_fold_frequency_ann,shap_rank_ann,single_gene_auc_ann,is_deg,pathways,locus,position,full_name,n_pd_papers,evidence_kind,title,authors,journal,year,doi,volume,pages,key
ENSG00000104327,CALB1,calbindin 1,up,0.5680324755760822,0.0044850799952137,True,0.52,10,0.709090909090909,0.4536330770674598,True,15.367524036537558,CALB1_CALCR,0.0890916218249241,0.0,0.4785653662019898,"Amyloid Fiber Formation R-HSA-977225 (Reactome; p=7.0e-02, FDR=0.74)",The protein encoded by this gene is a member of the calcium-binding protein superfamily that includes calmodulin and troponin C.,15.367524036537558,0.6073612056215265,0.2399262020475581,0.3950305021573385,1.2138732799280734,0.0044850799952137,0.1428310691223964,4,0.52,10,0.709090909090909,True,calcium ion binding involved in regulation of presynaptic cytosolic calcium ion concentration,8q21.3,chr8:90.06~Mb,calbindin 1,566,neuro,Key Roles of CACNA1C/Cav1.2 and CALB1/Calbindin in Prefrontal Neurons Altered in Cognitive Disorders,"Datta D, Yang S, Joyce MKP, Woo E, McCarroll SA, Gonzalez-Burgos G, Perone I, Uchendu S, Ling E, Goldman M, Berretta S, Murray J, Morozov Y, Arellano J, Duque A, Rakic P, O'Dell R, van Dyck CH, Lewis DA, Wang M, Krienen FM, Arnsten AFT",JAMA psychiatry,2024.0,10.1001/jamapsychiatry.2024.1112,81.0,870-881,datta2024
ENSG00000145050,MANF,mesencephalic astrocyte derived neurotrophic factor,up,0.5501630036073192,0.016953475524816,False,0.16,25,0.6757575757575758,0.3909554263137294,True,-1.01269039561239,SOX6_DDT,0.1109790322820278,0.0,0.8409637784109902,"Endoplasmic Reticulum Lumen (GO:0005788) (GO:CC; p=2.4e-01, FDR=0.74)","The protein encoded by this gene is localized in the endoplasmic reticulum (ER) and golgi, and is also secreted.",-1.01269039561239,0.5571766551220778,0.3708484822555679,0.6655851045559594,0.5467927527531135,0.016953475524816,0.0,4,0.16,25,0.6757575757575758,False,,3p21.2,chr3:51.39~Mb,mesencephalic astrocyte derived neurotrophic factor,172,pd,"MANF: a new mesencephalic, astrocyte-derived neurotrophic factor with selectivity for dopaminergic neurons","Petrova P, Raibekas A, Pevsner J, Vigo N, Anafi M, Moore MK, Peaire AE, Shridhar V, Smith DI, Kelly J, Durocher Y, Commissiong JW",Journal of molecular neuroscience : MN,2003.0,10.1385/jmn:20:2:173,20.0,173-188,petrova2003
ENSG00000003402,CFLAR,CASP8 and FADD like apoptosis regulator,up,0.5437844227360927,0.0060413540240205,True,0.56,8,0.702020202020202,-0.1064312548029262,False,0.7255581616174815,CALB1_GEM,0.0045068210057384,0.0,0.0370668916877085,"Apoptosis WP254 (WikiPathways; p=4.5e-02, FDR=0.74)",The protein encoded by this gene is a regulator of apoptosis and is structurally similar to caspase-8.,0.7255581616174815,0.5732109116893354,0.323887195941328,0.5650401786434693,0.4941855820628771,0.0060413540240205,0.0,4,0.56,8,0.702020202020202,True,,2q33.1,chr2:201.12~Mb,CASP8 and FADD like apoptosis regulator,44,neuro,Mef2c Exacerbates Neuron Necroptosis via Modulating Alternative Splicing of Cflar in Ischemic Stroke With Hyperlipidemia,"Li R, Huang T, Zhou J, Liu X, Li G, Zhang Y, Guo Y, Li F, Li Y, Liesz A, Li P, Wang Z, Wan J",CNS neuroscience & therapeutics,2024.0,10.1111/cns.70144,30.0,e70144,li2024
ENSG00000141837,CACNA1A,calcium voltage-gated channel subunit alpha1 A,up,0.4814977993139482,0.0661754642115616,False,0.24,29,0.6353535353535353,0.0757204420108264,True,-2.7598202991252827,SOX6_AGTR1,0.3604482300567952,0.0,0.2301167936304172,"Cellular Response To Amyloid-Beta (GO:1904646) (GO:BP; p=8.9e-02, FDR=0.74)","Voltage-dependent calcium channels mediate the entry of calcium ions into excitable cells, and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, and gene expression.",-2.7598202991252827,0.5227284973346045,0.5471358281811464,1.0466921757107084,0.4336155124078592,0.0661754642115616,0.2625043154726165,3,0.24,29,0.6353535353535353,False,,19p13.13,chr19:13.21~Mb,calcium voltage-gated channel subunit alpha1 A,333,neuro,Brainstem spreading depolarization and cortical dynamics during fatal seizures in Cacna1a S218L mice,"Loonen ICM, Jansen NA, Cain SM, Schenke M, Voskuyl RA, Yung AC, Bohnet B, Kozlowski P, Thijs RD, Ferrari MD, Snutch TP, van den Maagdenberg AMJM, Tolner EA",Brain : a journal of neurology,2019.0,10.1093/brain/awy325,142.0,412-425,loonen2019
ENSG00000185513,L3MBTL1,L3MBTL histone methyl-lysine binding protein 1,up,0.4432309232925013,0.0769902063380395,False,0.16,16,0.6303030303030304,0.0971462370299795,True,0.0184020592103367,CALB1_GEM,0.0,0.0,0.0,"Regulation Of Mitotic Nuclear Division (GO:0007088) (GO:BP; p=4.6e-02, FDR=0.74)",This gene represents a polycomb group gene.,0.0184020592103367,0.4476691811059731,0.4958585318814321,1.1076450039656662,0.5724032843468205,0.0769902063380395,0.0,4,0.16,16,0.6303030303030304,False,,20q13.12,chr20:43.49~Mb,L3MBTL histone methyl-lysine binding protein 1,17,neuro,Activity-Induced Regulation of Synaptic Strength through the Chromatin Reader L3mbtl1,"Mao W, Salzberg AC, Uchigashima M, Hasegawa Y, Hock H, Watanabe M, Akbarian S, Kawasawa YI, Futai K",Cell reports,2018.0,10.1016/j.celrep.2018.05.028,23.0,3209-3222,mao2018
ENSG00000100600,LGMN,legumain,down,-0.4551895743131892,0.029162383129918,False,0.2,26,0.6606060606060606,0.128637248751018,False,0.0,,0.0816270729360511,0.0,0.6713516839148433,"Cellular Response To Amyloid-Beta (GO:1904646) (GO:BP; p=8.9e-02, FDR=0.74)",This gene encodes a cysteine protease that has a strict specificity for hydrolysis of asparaginyl bonds.,0.0,-0.4607446477194179,-0.2412403192111522,0.5235878927845117,-0.4940885227545988,0.029162383129918,0.0,4,0.2,26,0.6606060606060606,False,,14q32.12,chr14:92.70~Mb,legumain,42,other,The extracellular vesicular pseudogene LGMNP1 induces M2-like macrophage polarization by upregulating LGMN and serves as a novel promising predictive biomarker for ovarian endometriosis recurrence,"Sun SG, Guo JJ, Qu XY, Tang XY, Lin YY, Hua KQ, Qiu JJ","Human reproduction (Oxford, England)",2022.0,10.1093/humrep/deab266,37.0,447-465,sun2022
ENSG00000135298,ADGRB3,adhesion G protein-coupled receptor B3,down,-0.5180780806430797,0.0084030257641808,True,0.36,15,0.693939393939394,0.0014905646528994,False,0.0,,0.0,0.0,0.0,"Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189) (GO:BP; p=3.1e-01, FDR=0.74)","This p53-target gene encodes a brain-specific angiogenesis inhibitor, a seven-span transmembrane protein, and is thought to be a member of the secretin receptor family.",0.0,-0.5174691648834802,-0.3633988778655924,0.7022618979575717,-0.429495917086317,0.0084030257641808,0.399074349657534,3,0.36,15,0.693939393939394,True,"excitatory synapse, cerebellar climbing fiber to Purkinje cell synapse, regulation of synapse pruning",6q12-q13,chr6:68.64~Mb,adhesion G protein-coupled receptor B3,10,neuro,C1QL3 promotes cell-cell adhesion by mediating complex formation between ADGRB3/BAI3 and neuronal pentraxins,"Sticco MJ, Peña Palomino PA, Lukacsovich D, Thompson BL, Földy C, Ressl S, Martinelli DC",FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2021.0,10.1096/fj.202000351rr,35.0,e21194,sticco2021
ENSG00000085719,CPNE3,copine 3,down,-0.5581699444139162,0.0271879598371368,False,0.4,19,0.6626262626262627,0.2293751362781411,False,-8.94710442808607,SOX6_AGTR1,0.0,0.0,0.0,"Receptor Tyrosine Kinase Binding (GO:0030971) (GO:MF; p=2.7e-01, FDR=0.74)",Calcium-dependent membrane-binding proteins may regulate molecular events at the interface of the cell membrane and cytoplasm.,-8.94710442808607,-0.5960493789239405,-0.3640079550233129,0.6107010054778742,-0.472771262553419,0.0271879598371368,0.0,4,0.4,19,0.6626262626262627,False,,8q21.3,chr8:86.51~Mb,copine 3,9,other,Circulating exosomal CPNE3 as a diagnostic and prognostic biomarker for colorectal cancer,"Sun B, Li Y, Zhou Y, Ng TK, Zhao C, Gan Q, Gu X, Xiang J",Journal of cellular physiology,2019.0,10.1002/jcp.26936,234.0,1416-1425,sun2019
ENSG00000144619,CNTN4,contactin 4,down,-0.627145046649201,0.002887350725337,True,0.72,7,0.7191919191919192,0.0950143673360987,False,-3.143676038358276,SOX6_AGTR1,0.0107297664228843,0.0,0.0342923630752755,"Neuron Cell-Cell Adhesion (GO:0007158) (GO:BP; p=8.6e-02, FDR=0.74)",This gene encodes a member of the contactin family of immunoglobulins.,-3.143676038358276,-0.6435864036586293,-0.155098936655231,0.240991630297862,-0.6730312378038813,0.002887350725337,0.0,4,0.72,7,0.7191919191919192,True,,3p26.3-p26.2,chr3:2.10~Mb,contactin 4,40,pd,GWAS and transcriptional analysis prioritize ITPR1 and CNTN4 for a serum uric acid 3p26 QTL in Mexican Americans,"Chittoor G, Kent JW, Almeida M, Puppala S, Farook VS, Cole SA, Haack K, Göring HH, MacCluer JW, Curran JE, Carless MA, Johnson MP, Moses EK, Almasy L, Mahaney MC, Lehman DM, Duggirala R, Comuzzie AG, Blangero J, Voruganti VS",BMC genomics,2016.0,10.1186/s12864-016-2594-5,17.0,276,chittoor2016
ENSG00000173611,SCAI,suppressor of cancer cell invasion,down,-0.6614467818506521,0.0008459767379691,True,0.72,4,0.7454545454545455,0.1339620995132439,False,-0.1754571187046449,CALB1_PPP1R17,0.0,0.0,0.0,"Negative Regulation Of Ras Protein Signal Transduction (GO:0046580) (GO:BP; p=3.0e-01, FDR=0.74)",This gene encodes a regulator of cell migration.,-0.1754571187046449,-0.6848237611090344,-0.6093553638991843,0.8897988044579044,-0.7501269243939104,0.0008459767379691,0.0,4,0.72,4,0.7454545454545455,True,,9q33.3,chr9:124.94~Mb,suppressor of cancer cell invasion,165,other,Circular RNA Cdr1as Upregulates SCAI to Suppress Cisplatin Resistance in Ovarian Cancer via miR-1270 Suppression,"Zhao Z, Ji M, Wang Q, He N, Li Y",Molecular therapy. Nucleic acids,2019.0,10.1016/j.omtn.2019.07.012,94.0,29-37,zhao2019
ENSG00000164181,ELOVL7,ELOVL fatty acid elongase 7,down,-0.6831983523517949,0.0041126849962589,True,0.4,21,0.7111111111111111,-0.2897203324608198,True,-3.056932201328848,SOX6_AGTR1,0.3164018480363391,0.5068845785838092,0.2635856377957975,"fatty-acyl-CoA Biosynthetic Process (GO:0046949) (GO:BP; p=2.6e-01, FDR=0.74)",Enables fatty acid elongase activity.,-3.056932201328848,-0.6961119213915252,-0.5158789483555941,0.7410862140162087,-0.8040966421734407,0.0041126849962589,0.0,4,0.4,21,0.7111111111111111,True,,5q12.1,chr5:60.75~Mb,ELOVL fatty acid elongase 7,60,pd,"Association of GALC, ZNF184, IL1R2 and ELOVL7 With Parkinson's Disease in Southern Chinese","Li G, Cui S, Du J, Liu J, Zhang P, Fu Y, He Y, Zhou H, Ma J, Chen S",Frontiers in aging neuroscience,2018.0,10.3389/fnagi.2018.00402,10.0,402,li2018
ENSG00000140600,SH3GL3,"SH3 domain containing GRB2 like 3, endophilin A3",down,-0.6886622705013062,0.0111138787499094,False,0.52,13,0.6868686868686869,-0.150431558372801,True,-4.049687891336498,SOX6_AGTR1,0.0015208712211094,0.0,0.0,"10Q22Q23 Copy Number Variation WP5402 (WikiPathways; p=1.8e-01, FDR=0.74)",Enables identical protein binding activity.,-4.049687891336498,-0.7854849195061964,-0.663675313066305,0.8449243220143955,-0.3972525971629568,0.0111138787499094,0.8067382915244914,3,0.52,13,0.6868686868686869,False,,15q25.2,chr15:83.45~Mb,"SH3 domain containing GRB2 like 3, endophilin A3",16,neuro,Cell-permeable PEP-1-SH3GL3 protects neurons from ischemic damage by reducing oxidative stress and pro-inflammatory cytokine release in the gerbil hippocampus,"Kim W, Kwon HJ, Hahn KR, Go H, Yoo DY, Kim DW, Lim J, Moon SM",Neurochemistry international,2026.0,10.1016/j.neuint.2026.106261,200.0,106261,kim2026
ENSG00000182919,C11orf54,beta-keto-L-gulonate decarboxylase,down,-0.7096280883341349,0.0046825078928778,True,0.4,17,0.7080808080808081,-0.1500601960671987,True,-0.668130964500495,SOX6_GFRA2,0.0,0.0,0.0,"Zinc Ion Binding (GO:0008270) (GO:MF; p=3.2e-01, FDR=0.74)","Enables hydrolase activity, acting on ester bonds and zinc ion binding activity.",-0.668130964500495,-0.7379262135115654,-0.6765426519213219,0.9168161254251452,-0.7420494065309727,0.0046825078928778,0.0383917390995868,3,0.4,17,0.7080808080808081,True,,,,,5,other,C11orf54 promotes DNA repair via blocking CMA-mediated degradation of HIF1A,"Tan J, Wang W, Liu X, Xu J, Che Y, Liu Y, Hu J, Hu L, Li J, Zhou Q",Communications biology,2023.0,10.1038/s42003-023-04957-1,6.0,606,tan2023
ENSG00000110693,SOX6,SRY-box transcription factor 6,down,-0.7692889853524748,0.0014429753630505,True,0.36,24,0.7343434343434344,-0.4105921445076537,True,-18.305267876046795,SOX6_AGTR1,0.0871034965279969,0.0,0.7163931887494486,"Brain Development (GO:0007420) (GO:BP; p=3.0e-01, FDR=0.74)",This gene encodes a member of the D subfamily of sex determining region y-related transcription factors that are characterized by a conserved DNA-binding domain termed the high mobility group box and by their ability to bind the minor groove of DNA.,-18.305267876046795,-0.7985957802351605,-0.3297202931996133,0.41287507567661,-1.0390035901435404,0.0014429753630505,0.0,4,0.36,24,0.7343434343434344,True,,11p15.2,chr11:15.97~Mb,SRY-box transcription factor 6,161,pd,Sox6 and Otx2 control the specification of substantia nigra and ventral tegmental area dopamine neurons,"Panman L, Papathanou M, Laguna A, Oosterveen T, Volakakis N, Acampora D, Kurtsdotter I, Yoshitake T, Kehr J, Joodmardi E, Muhr J, Simeone A, Ericson J, Perlmann T",Cell reports,2014.0,10.1016/j.celrep.2014.07.016,8.0,1018-1025,panman2014
ENSG00000005700,IBTK,inhibitor of Bruton tyrosine kinase,down,-0.8964764842736727,0.0009335864054648,True,0.6,18,0.7434343434343434,-0.1308089177978617,True,-1.3769266914131824,SOX6_AGTR1,0.0,0.0,0.0,"Negative Regulation Of Protein Modification Process (GO:0031400) (GO:BP; p=3.8e-01, FDR=0.74)","Bruton tyrosine kinase (BTK) is a protein tyrosine kinase that is expressed in B cells, macrophages, and neutrophils.",-1.3769266914131824,-0.9073747050182882,-0.756194700823975,0.8333874601548804,-0.5624856910274979,0.0009335864054648,0.0,4,0.6,18,0.7434343434343434,True,,6q14.1,chr6:82.17~Mb,inhibitor of Bruton tyrosine kinase,6,other,"Direct inhibition of Bruton's tyrosine kinase by IBtk, a Btk-binding protein","Liu W, Quinto I, Chen X, Palmieri C, Rabin RL, Schwartz OM, Nelson DL, Scala G",Nature immunology,2001.0,10.1038/ni1001-939,2.0,939-946,liu2001
