symbol,search_pass,where,title,year,doi,sentences,decision,reason,searched
,"pass 3: targeted search by protein name (legumain, calretinin, calbindin, endophilin, and others)",title/abstract,Single-cell genomic profiling of human dopamine neurons identifies a population that selectively degenerates in Parkinson's disease,2022,10.1038/s41593-022-01061-1,,kept,cited in Table 3 (kamath2022),
BCL11A,"pass 1: symbol, title and abstract",,The transcription factor BCL11A defines distinct subsets of midbrain dopaminergic neurons.,2021,10.1016/j.celrep.2021.109697,"By combining intersectional labeling and viral-mediated tracing, we demonstrate that Bcl11a-expressing mDA neurons form a highly specific subcircuit within the murine dopaminergic system. || In the substantia nigra, the Bcl11a-expressing mDA subset is particularly vulnerable to neurodegeneration upon α-synuclein overexpression or oxidative stress.",kept,cited in Table 3 (tolve2021),2026-09-21
CALB2,"pass 2: all HGNC aliases, wider disease terms, open-access full text",full text,Peripheral and CSF protein quantification in Parkinson's disease and multiple system atrophy-the nucleic acid-linked immuno-sandwich assay.,2026,10.1093/braincomms/fcag035,"twice the absolute level), whereas the greatest reduction in NPQ levels in Parkinson’s disease patients compared to healthy controls was for TAFA5, GOT1, CALB2, CD63, Aβ38 and SMOC1. || This was very similar in a comparison between MSA-P and Parkinson’s disease CSF ( Supplementary Figs 21 and 22 ) whereas in the comparison between MSA-C and Parkinson’s disease CSF samples, there were also greater than 2-fold increases in SNCB, MAPT, CALB2, CCL3, CHI3L1, TREM1, TREM2, MDH1 and PGK1 in MSA-C patients compared to Parkinson’s disease CSF ( Supplementary Figs 23 and 24 ).",kept,cited in Table 3 (vijiaratnam2026),2026-09-21
CNTN4,"pass 2: all HGNC aliases, wider disease terms, open-access full text",full text,"Genomic, transcriptomic, and metabolomic profiles of hiPSC-derived dopamine neurons from clinically discordant brothers with identical PRKN deletions.",2022,10.1038/s41531-022-00346-3,"CNTN6 , CNTN4 and CHL1 encode neuronal membrane immunoglobulin-like proteins that play a role in axon guidance and outgrowth, orientation of dendrites and synaptogenesis in the developing nervous system 49 – 52 and are expressed in the developing human embryonic substantia nigra pars compacta ( https://www.brainspan.org ) 51 – 53 .",kept,cited in Table 3 (cukier2022),2026-09-21
CNTN4,"pass 2: all HGNC aliases, wider disease terms, open-access full text",abstract,Contactin proteins in cerebrospinal fluid show different alterations in dementias.,2024,10.1007/s00415-024-12694-6,"CNTNs were measured in 82 CSF samples from patients with Alzheimer's disease (AD, n = 19), behavioural variant frontotemporal dementia (bvFTD, n = 18), Parkinson's disease dementia/dementia with Lewy bodies (PDD/DLB, n = 18) and non-neurodegenerative controls (n = 27) and compared with core AD biomarkers.ResultsThe MRM analysis revealed down-regulation of CNTN2 (fold change (FC) = 0.77), CNTN4 (FC = 0.75) and CNTN5 (FC = 0.67) in bvFTD and CNTN3 (FC = 0.72), CNTN4 (FC = 0.75) and CNTN5 (FC = 0.73) in PDD/DLB compared to AD.",kept,cited in Table 3 (muqaku2024),2026-09-21
DNAJB1,"pass 1: symbol, title and abstract",,EGFR phosphorylates DNAJB1 to suppress α-synuclein aggregation in Parkinson's disease.,2025,10.1038/s41531-025-01006-y,"Recent findings highlight DNAJB1 as a crucial factor in the disaggregation of α-synuclein fibrils in vitro, yet the underlying mechanisms and regulatory processes in neuronal cells remain largely undefined. || This study reveals that DNAJB1 facilitates the clearance of α-synuclein via the Hsp70 chaperone system. || Phosphorylation of DNAJB1 at tyrosine 5 by the epidermal growth factor receptor (EGFR) is essential for mitigating α-synuclein aggregation, enhancing its interaction with Hsp70.",kept,cited in Table 3 (huang2025),2026-09-21
DNAJB1,"pass 1: symbol, title and abstract",,Stepwise recruitment of chaperone Hsc70 by DNAJB1 produces ordered arrays primed for bursts of amyloid fibril disassembly.,2025,10.1038/s42003-025-07906-2,"We show that DNAJB1 binds regularly along α-synuclein amyloid fibrils and acts in a 2-step recruitment of Hsc70, releasing DNAJB1 auto-inhibition before activating Hsc70 ATPase.",kept,cited in Table 3 (monistrol2025),2026-09-21
PLXNC1,"pass 1: symbol, title and abstract",,Transcriptional repression of Plxnc1 by Lmx1a and Lmx1b directs topographic dopaminergic circuit formation.,2017,10.1038/s41467-017-01042-0,"We also found that Sema7a/Plxnc1 interactions are responsible for the segregation of nigrostriatal and mesolimbic dopaminergic pathways. || These findings identify Lmx1a/b, Otx2, and Plxnc1 as determinants of dopaminergic circuit formation and should assist in engineering mesodiencephalic dopamine neurons capable of regenerating appropriate connections for cell therapy.Midbrain dopaminergic neurons (mDAs) in the VTA and SNpc project to different regions and form distinct circuits.",kept,cited in Table 3 (chabrat2017),2026-09-21
SOX6,"pass 1: symbol, title and abstract",,Sox6 and ALDH1A1 Truncation by Asparagine Endopeptidase Defines Selective Neuronal Vulnerability in Parkinson's Disease.,2025,10.1002/advs.202409477,"AEP cuts Sox6 and ALDH1A1 in dopaminergic neurons that project to the locus coeruleus (LC), abolishing Sox6's transcriptive and ALDH1A1's enzymatic activities. || Co-expressing AEP-truncated Sox6 and ALDH1A1 fragments in 3-month-old A53T SNCA transgenic mice accelerates dopamine degeneration, whereas expressing AEP-resistant Sox6 N336A/N446A and ALDH1A1 N220A mutants alleviates rotenone-induced PD pathologies.",kept,cited in Table 3 (nie2025),2026-09-21
ADGRB3,"pass 2: all HGNC aliases, wider disease terms, open-access full text",full text,Genetics of epilepsy.,2026,10.3389/ebm.2026.10933,"Inheritance Genes AD ABCC11 , AKAP9, ALG10B, APOL2 , APOL4 , APOLD1 , ATP11A, ATP2A2, BAP1, BPTF, CACNA1H, CACNB4, CACNG2, CALM3, CHI3L1 , COL4A1, COL4A2, CST3 , CTLA4, DAOA , DISC2 , DNASE1 , DRD3, EDNRA , EFHC1, EIF2AK1 , ELP4 , EPB41L1 , ERMARD, FBP2, FCGR2B , FGFR2, FTH1 , GABBR2, GABRD, GAL, GNB2, HCN2, HCN4, HNF1B, HTR2A, IRF3, KCNN2, KDM1A, KIF5A, LRRK2, MAP1B, NEUROD1 , NOL3, NOTCH3, NRAS, PAK2, PDGFRB , PHOX2B, PLAU , PRNP, PSEN1, PTEN, RANBP2, RAPGEF2, REST , RET , RORB, RTN4R, SAMD9L , SCN8A, SHANK3, SMARCA4, SMARCB1, SMARCC1, SMARCE1, SNORA31, SPECC1L, SPTSSA, SYN2, TNFRSF1A , TNRC6A, TRPM3, TRRAP, TSC2, TTR, USP25 , WDFY3, YEATS2, ZIC1 AD | AR CASR, SLC2A1, TREX1, AARS1, ANTXR1, APOE, ATR , BUB1B, CCDC88C, CILK1 , CLCN2, CRELD1 , DHTKD1, DMXL2, ESR1 , EVC , FCGR2A , HBB , IFT140, IL6ST, KCNQ1, LBR , LMAN2L, MPO , NAGLU, PIEZO2 , POLE, PRODH, PSAP, RELN, RYR1, SLC4A1 , TBK1, TNFRSF11A , UCHL1, UFSP2, WFS1, SLC12A5, CD46 , RNF213, TICAM1, TLR3, CFH, CFHR1 , CFHR3 , ACKR1 , COQ2, CPT2, ATP5F1A, CAMK2A, CDH2, DHDDS, EPO , ERBB3 , FIG4, GJC2, GRIA1, HNF1A , HTRA1, IFNG , LMNB2, LRP1 , MDM2, MTHFR, PIEZO1 , POLG2, PTPN22 , RAD21, ROBO1, SCN5A, TGFB1, THAP11, TNF , NEK1 , UGT1A1 AD | AR | Mu GBA1 , F2, POMC, HLA-DQB1 AD | AR | DR SLC36A2 , PIK3CD AD | AR | SMu SUFU , ELP1 , BRCA2, ATM, MINPP1, ERCC6 AD | AR | SMu | Mu IL6 AD | SMu TP53, CBL AD | Mu NOS3, TBP, MAPT, GABRA2, NOD2 AR ABCA5, ABCB1, ACE , ACER3 , ACP2 , AHSG , ALG14, AMPD2, AP3D1, AQP4 , ARNT2, ATPAF2, B9D2, BCL10, CAMLG, CCT5 , CD36 , CDC40, CDK5, CDK6 , CENPE, CEP290, CEP63 , CHP1 , CHRNA3, CNP, CNTNAP2, COG2, COQ5, COX8A, CPAP , CPS1, DALRD3, DBR1 , DPM3, EGF, EN1, EXOC8, FBXO31 , FTO, GET4, GGT1, GUF1, HERC2, HEXA, HMOX1, HTRA2, IBA57, IFNAR2, INTS8, KARS1, KIAA0753, KIF7, LAMA5, LARS1, LSM11, MAL , MCM8, MDH1, MRPL12, MTHFD1, MTR, MTRR , MYO1H, NARS2, NAT8L, NDUFA13, NDUFA4 , NIN, NRXN1, NUP133, NUP214, PAH, PCSK1, PDCD6IP, PEX3, PHYKPL , PIGG, PNPLA8, POMK, PPA2, PRDM8, PRIMA1, PSMB1 , RFX5 , RNH1 , RNU12, RRP7A , SARDH, SEC31A, SEL1L , SHQ1, SIK3 , SLC19A1 , SLC24A4, SLC24A5 , SLC25A10, SLC28A1, SOBP, SYT14, TDP1, TMEM67, TREM2 , TSEN34 , TSEN54, TSPEAR , TSPOAP1 , TXN2, UQCC3 , VPS11, WIPI2, ZPR1 AR | Mu HLA-DQA1 DR KNSTRN XL G6PD , NLGN3 XLD NDUFB11 XLR ATP6AP2, HS6ST2, L1CAM, MBTPS2, MID2, PTCHD1, RBMX , RPL10, TMLHE XLD | XLR DKC1, FLNA, MECP2, OFD1 UN ABCC1 , ABCC12, ABCC2, ABCC5 , ABCG2 , ACHE , ACMSD, ACOD1 , ACOT7, ADA, ADAM23 , ADCY9 , ADGRB3 , ADGRL3 , ADIPOQ , ADORA1 , ADORA2A, ADRA2B, AGAP2 , AGER , AGMO , AGTR1 , AGTR2, AHR , AJAP1 , AK5 , AKAP5, ALB , ALDH2 , AMPH , ANKK1 , ANO3, ANO4 , ANXA7 , APLN , APTX , AQP1 , AQP9 , ARF6 , ARHGAP44 , ARHGEF15, ARHGEF5 , ARL6IP6 , ARPC2 , ASIC2 , ASIC3 , ASNSD1 , ATF2 , ATF3 , ATF5 , ATG5 , ATL1 , ATOX1 , ATP10A , ATP2B2 , AVP , AZGP1 , BACE1 , BAK1 , BCHE , BCL11A, BCL2A1 , BDNF, BMAL1 , BORCS5 , BRD2, BRWD3, BSN, C1orf94 , C3, C9orf72, CACNG4 , CALB1 , CALB2 , CALHM1 , CAMK4 , CAPN1, CAPN2 , CAPZA2, CASP1 , CASP3 , CAT , CBLN1 , CBX1 , CCDC186, CCDC82 , CCL2 , CCL4 , CCN3, CCR5 , CCS , CCT4 , CCT6A , CCT7 , CCT8 , CD34 , CD40 , CD44 , CDIP1 , CDK5R1 , CDK5RAP3 , CDKN2B-AS1 , CDYL , CELF4, CELSR1, CELSR3, CFL1 , CHD4, CHL1, CHRFAM7A, CHRM1, CHRM3 , CHRNA5 , CHRNA7, CISH , CLCN7, CLDN5 , CLDND1 , CLEC16A , CLIP1, CLOCK, CLPTM1 , CLTCL1, CLU , CNOT2, CNOT9 , CNR1 , CNRIP1 , COL1A1 , COL6A2, COPZ2 , COX20 , CP, CPEB4 , CPLX2 , CR1 , CREB1 , CREM , CRH, CRMP1 , CRP , CSMD1, CSMD3, CSNK1E, CSNK1G1, CSNK1G2 , CTNND2, CXCL13 , CXCL8 , CXCR2 , CXCR5 , CYFIP1, CYP19A1 , CYP1A1 , CYP1A2 , CYP24A1 , CYP2C19 , CYP2D6 , CYP3A4 , CYP3A5 , DAPK1 , DBN1 , DBP , DCAF13, DCLK2, DDX54 , DENND2B, DFFB , DGKD, DHRS9, DIPK2A , DIRAS1 , DISC1 , DLG2, DLGAP2, DLGAP3 , DLX1 , DMD, DNAJA3 , DOC2A , DPYSL2 , DRD1 , DSCAM, DTNBP1 , DUSP4 , EDN1 , EFHC2 , EGFR , EGR1 , EIF2S1 , ELFN1, ENO2 , EPHX1 , EPM2AIP1 , ERBB4, ERMN , ERN1 , ESM1 , EZR , FAAH , FAAH2, FAM3C , FANCL , FAT1, FGA , FGB, FGF2 , FGF22 , FGF7 , FGG , FKBP5 , FLT1 , FN1, FNDC5 , FOS , FOXO3 , FOXO4 , FURIN, FYN , FZD9, GABARAP , GABRA4, GABRA6, GABRE, GABRR1 , GABRR2, GAD2 , GAPDH , GAS1 , GC , GDNF , GEMIN5 , GHRH , GHRL, GJB1 , GJD2, GLO1 , GLP1R, GNB3 , GNG3 , GOLIM4 , GPC4 , GPR37L1, GPX1 , GRIK1, GRIK5 , GRINA, GRM2 , GRM3, GRM4, GRM5 , GRPR , GSK3A , GSK3B , GSN, GSTA1 , GSTA4 , GSTM1, GSTP1 , GSTT1 , GYG2 , GYPA , GYPB , GYPC , HCN3 , HCRT , HDAC2 , HIF1A , HIP1, HLA-B , HLA-DRB1 , HLF , HMGB1 , HOMER1 , HP , HRH3 , HSPA8 , HSPB1 , HSPBAP1 , HSPE1, HTR1A, HTR1B , HTR2C, HTR3A , HTR6, HTR7 , HULC , ICAM1 , ICAM5 , IDH1, IDO1 , IFI44L , IFNA1 , IGF1 , IGF1R , IL10, IL17A , IL17RA , IL18 , IL1A , IL1B, IL1R1 , IL1RN , IL2 , IL33 , IL4 , IL7R , IMMT , IMPA2 , INPP4A, IRAK1 , IRS1 , IRS2 , ITGA2 , ITSN1 , JMJD1C, JRK, JUN , KCNA3 , KCNA4 , KCNA6 , KCNAB1, KCNAB2, KCNAB3 , KCND2, KCNH3 , KCNH7 , KCNIP3 , KCNJ3 , KCNJ8 , KCNK18 , KCNK2 , KCNK3 , KCNMB1, KCNMB4 , KCNN4 , KCNV1 , KCNV2, KDM2B , KEAP1 , KIF16B , KL , KLHL20, KLRC1 , KLRK1 , LEP , LEPR, LGI2 , LGMN , LINC01621 , LOC101927235 , LOC102724058 , LOC108228197 , LOC108228198 , LOC108228208 , LOC108228209 , MAOB , MAP2, MAPK10, MARK2 , MAST4, MBP , MC3R, ME2, MED1 , MGMT , MICAL1, MICU2 , MIR124-1 , MIR128-1, MIR128-2 , MIR129-1 , MIR129-2 , MIR132 , MIR134 , MIR135B , MIR139 , MIR145 , MIR146A , MIR148A , MIR153-1 , MIR153-2 , MIR155 , MIR15A , MIR181A1 , MIR196B , MIR199A1 , MIR199A2 , MIR204 , MIR211 , MIR212 , MIR217 , MIR218-1 , MIR219A1 , MIR29A , MIR335 , MIR372 , MLLT3, MMP2 , MMP3 , MMP8 , MMP9 , MT-ATP6 , MT-ATP8 , MT-CO2 , MT-ND1 , MT-ND4 , MT-ND5 , MT-ND6 , MT-RNR1 , MT-RNR2 , MT-TF , MT-TL1 , MT-TS1 , MT2A , MUSK, MVP , MYH10 , NAPA , NAT2 , NAV1 , NCAM1 , NCOR2, NEAT1 , NES , NFE2L1 , NFIX , NFKB1 , NIPA2, NKAIN1 , NKAIN2 , NKAIN4 , NLGN1, NLRP1 , NNMT , NOS1 , NOS2 , NOTCH4 , NPAP1 , NPPB , NPPC , NPY , NPY1R , NPY2R , NR1I2 , NR1I3 , NR3C1 , NRDC , NREP , NRG1 , NRXN2, NTF3, NTNG1, NUCB2 , NUSAP1 , NWD1 , OGDHL, OLIG2 , OMA1 , OPALIN , OPRM1, OPTN , OSBPL11 , OTX1 , OXT , P2RX3 , P2RX7 , P2RY1 , P2RY12 , P2RY2 , PADI4 , PADI6 , PAQR8 , PARP6 , PAX6, PCDH7, PCMT1 , PER2 , PEX5L , PGF , PHF24 , PHLDA1 , PHOX2A , PIK3C2B , PIK3R4, PIN1 , PJA1 , PLA2G4A, PLAT , PLAUR , PLCB4, PLCG1 , PNOC , POU2AF1 , PPARG , PPFIA1 , PPP2R2C , PPP5C, PPT2 , PRICKLE2, PRKD1, PRL, PROM1, PRR15L , PTGS2, PTPRD, PVALB , PWP2 , QKI , RAB40AL , RACK1 , RALBP1 , RAP1A , RARRES2 , RASGRF1 , RBFOX1, RBFOX3, RFX3, RFX4, RHOA , RINT1 , RNU2-2 , RNU5B-1 , RPS6KA2 , RTN4 , S100B , SAA1 , SCAMP5, SCN1A-AS1 , SCN3B , SEMA7A , SERINC1 , SERINC2 , SERINC5 , SERPINE1 , SGK1 , SH3BGRL2 , SH3GL2 , SHANK2, SHH , SHROOM4, SIRT1 , SKAP1 , SLC13A1 , SLC16A4, SLC16A7, SLC1A1, SLC22A1, SLC29A1, SLC39A7 , SLC4A5 , SLC5A11 , SLC6A3, SLC6A4, SLC7A10 , SLC7A11, SLC9A9, SLIT2 , SLITRK3 , SLITRK5 , SMAD3 , SMG6, SNHG1 , SNN , SNRPD1 , SNX11 , SNX25 , SOCS1 , SOD1 , SOD2 , SORBS2 , SORCS2 , SORCS3, SOX11, SOX7 , SP1 , SRGAP2, SRPX2, SRR , SSTR2 , ST8SIA1 , STAT3 , STIM1 , STIM2 , STK24 , STMN1 , STX1A , STXBP5L, STYXL1, SUCO, SV2B , SYNRG , SYT11 , SYVN1 , TAC1 , TACR1 , TAP1, TBC1D32 , TEF , TERT , TET1 , TET2 , TFAM, TGFBR2 , THBS1 , THBS2 , TIMP1 , TIMP2 , TIMP4 , TIRAP , TLE1 , TLN2 , TLR4 , TLR7 , TMEFF1 , TMEM25 , TMEM63B, TNFRSF13C , TNFRSF1B , TNFSF13B , TNK2, TOMM40 , TOP2A , TOP3B, TPH2 , TRIM3 , TRMT44, TRPC3 , TRPC4 , TRPC6, TRPM2 , TRPM7 , TRPV1 , TRPV4 , TSPO , TUBG2 , TUG1 , TXNRD1, U2AF1 , UBA1, UBC , UBQLN1 , UBR4, UBR5, UCP2 , UGT1A4 , UGT1A6 , UGT1A9, UGT2B7 , UNC13B, UPF1, USF1 , VEGFA , VEZT , VRK2, VWF , WHCR , WNT8B , YWHAE, YWHAQ , YWHAZ , ZDHHC15, ZFAS1 , ZFHX3, ZFYVE27 , ZNF143 , ZNF385D , ZSCAN25 , COMT AD, autosomal dominant; AR, autosomal recessive; XL, X-linked; XLD, X-linked dominant; XLR, X-linked recessive; DR, digenic recessive; Mu, multifactorial inheritance; SMu, somatic mutation; SMo, somatic mosaicism; DD, digenic dominant; PR, psuedoautosomal recessive; UN, unknown.",excluded,"gene named only in a list, table, abbreviation list or reference",2026-09-21
BCL11A,"pass 1: symbol, title and abstract",,The transcription factor BCL11A defines a distinctive subset of dopamine neurons in the developing and adult midbrain,2020,10.1101/2020.10.06.327940,"By combining intersectional labeling and viral-mediated tracing we show that Bcl11a-expressing mDA neurons form a highly specific subcircuit within the dopaminergic system. || We demonstrate that Bcl11a-expressing mDA neurons in the substantia nigra (SN) are particularly vulnerable to neurodegeneration in an α-synuclein overexpression model of Parkinson’s disease. || Inactivation of Bcl11a in developing mDA neurons results in anatomical changes, deficits in motor learning and a dramatic increase in the susceptibility to α-synuclein-induced degeneration in SN-mDA neurons.",excluded,"gene named only in a list, table, abbreviation list or reference",2026-09-21
